mprove50_x,mprove50_y
8,-1.1453979756496054e-13
9,-4.006678483096356e-13
10,9.074100643105849e-13
10,5.28887925423073e-13
10,8.852857359384682e-13
10,-6.47968940151659e-11
10,-1.1371902663646283e-12
10,-7.740104805558138e-13
10,-4.208848198566851e-13
10,-2.0664352126772993e-12
10,-3.4585753064697565e-12
10,-1.1326586585602401e-11
10,5.629341729908838e-11
10,2.378739580237325e-11
10,3.997795846679336e-11
10,5.35826017422188e-10
10,-1.0028229707388044e-10
10,-1.0814005461415312e-10
10,-3.619107784118279e-10
10,3.893643463382285e-10
10,2.6274002340346167e-10
10,5.212976864691093e-10
10,-1.8958311369418324e-09
10,-6.060890664922397e-10
10,-8.423021806692778e-10
10,-2.1349119432473357e-08
10,1.3726514542461574e-09
10,1.4022660996902491e-09
10,5.553572168657425e-09
10,-3.1462088378541506e-09
10,-2.347274217455105e-09
10,-5.527257796021385e-09
3,-1.7781007760637084e-15
2,-7.502108126710601e-16
1,-1.766416931126964e-15
0,2.242432947931393e-15
1,3.8026447522668837e-16
4,3.7384006113675505e-14
5,1.4319544146650046e-14
6,3.587024314078651e-14
7,2.896878092815516e-13
8,-2.916293515661284e-13
9,-3.39737601518595e-13
10,-9.958597019447107e-13
11,3.899704669956245e-12
11,1.6763543311687843e-12
11,2.5692849206787093e-12
11,2.7506385038872107e-11
11,-4.538054934943185e-12
11,-3.2998118975783106e-12
11,-4.626460342726113e-12
11,-2.380394321346834e-12
11,-7.467824801811659e-12
11,-2.555536788529079e-11
11,2.851350369157788e-10
11,7.376781365212852e-11
11,1.1684239937685082e-10
11,8.403404967085831e-10
11,-3.6876961059978647e-10
11,-3.6631195262534357e-10
11,-1.0597626399244084e-09
11,1.701373942592675e-09
11,1.000631176959309e-09
11,1.8351366817322879e-09
11,-1.1756629925376963e-08
11,-2.5593455112398804e-09
11,-3.3509977054633635e-09
11,-3.202499103135061e-08
11,6.379655042046683e-09
11,6.154987772480478e-09
11,2.0913608553537945e-08
11,-1.604673572787104e-08
11,-1.1212901609295592e-08
3,-2.8930637445372055e-15
2,-4.523965805816463e-15
1,1.767870836744667e-15
0,-0.0
1,-1.075986185705627e-15
4,-7.206336641684644e-15
5,-6.937586316313836e-13
6,5.6078802996604295e-14
7,1.1402119805171866e-13
8,6.412326575649215e-13
9,-1.0760445504733563e-12
10,-1.0333411713393932e-12
11,-2.6051196011431675e-12
12,2.166915864990939e-11
12,5.465485479071946e-12
12,7.645948088939528e-12
12,4.289701377463783e-11
12,-1.8023870927411387e-11
12,-1.2819013810158608e-11
12,-2.0397589410361196e-11
12,1.1460542651458948e-11
12,-1.2876282037212575e-11
12,-5.5111146171341526e-11
12,4.636824926896909e-09
12,2.266880754799009e-10
12,3.394901486178856e-10
12,1.7707207465107943e-09
12,-1.3605810611922332e-09
12,-1.2302861860324601e-09
12,-3.169873274124599e-09
12,7.633104143753879e-09
12,3.760764032791927e-09
12,6.418324115988711e-09
12,-1.038540129468832e-07
12,-1.0621587729459985e-08
12,-1.3104099610349296e-08
12,-8.176082101924579e-08
12,2.9048808671861107e-08
12,2.638354823707433e-08
12,7.957743952470256e-08
12,-8.001785784306943e-08
3,-1.5001721612786803e-14
2,2.212896769262796e-15
1,-0.0
0,-1.408004731996892e-15
1,3.811343434023588e-15
4,-9.082816918488497e-15
5,-2.4043802095066367e-14
6,-3.8735844921870725e-13
7,2.1383693985070523e-13
8,3.6030261190615044e-13
9,1.5676154465968581e-12
10,-4.2671678115686195e-12
11,-3.22059313869815e-12
12,-7.100779129076999e-12
13,4.528212910179026e-10
13,1.834295858899914e-11
13,2.32642576528695e-11
13,9.322909431859341e-11
13,-7.269598677408875e-11
13,-4.7829075867570666e-11
13,-7.634965121883287e-11
13,1.4409789151096066e-10
13,-5.825921752292178e-12
13,-1.0665489424767209e-10
13,-2.908056882869823e-09
13,6.888123480676409e-10
13,9.790706046824626e-10
13,4.16574682305172e-09
